Ind,ProjectID,SWE,AFP,EI,EO,EQ,ILF,EIF,NPDR,IS_Banking,IS_Communication,IS_Construction,IS_ElectronicsComputers,IS_Financial,IS_Government,IS_Insurance,IS_Manufacturing,IS_Medical,IS_Mining,IS_ProfessionalServices,IS_ServiceIndustry,IS_Utilities,IS_WholesaleRetail,RS_M1,RS_M2,RS_S
156,0.818132806,0.378292649,0.682105263,0.351351351,0.541401274,0.529411765,0.804195804,0.469387755,0.111304348,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,0.085901698,0.052958213,0.065263158,0.091891892,0.070063694,0.022058824,0.251748252,0,0.125217391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
106,0.603648127,0.044683492,0.315789474,0.464864865,0.261146497,0.294117647,0.370629371,0,0.053913043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
177,0.986701411,0.025237898,0.061052632,0.113513514,0.363057325,0.051470588,0.188811189,0.204081633,0.050434783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,0.303711025,0.079988967,0.033684211,0,0.012738854,0.022058824,0.223776224,0.306122449,0.205217391,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
60,0.309821188,0.258309199,0.528421053,0.502702703,0.566878981,0.330882353,0.307692308,0.326530612,0.097391304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,0.082711834,0.079988967,0.332631579,0.162162162,0.420382166,0.095588235,0.48951049,0.306122449,0.060869565,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
23,0.105445233,0.752999586,0.673684211,0.686486486,0.031847134,0.948529412,0.342657343,0.93877551,0.233043478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
160,0.849267679,0.13570542,0.490526316,0.248648649,0.343949045,0.073529412,0.965034965,0.428571429,0.055652174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
172,0.950759278,0.564887602,0.435789474,0.281081081,0.484076433,0.316176471,0.384615385,0.346938776,0.276521739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
168,0.922050499,0.652737553,0.507368421,0.654054054,0.178343949,0.433823529,0.244755245,0.102040816,0.288695652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72,0.368990925,0.034753827,0.214736842,0.183783784,0.337579618,0.088235294,0.272727273,0,0.055652174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,0.659043939,0.857536891,0.423157895,0.221621622,0.076433121,1,0,0.979591837,0.394782609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
73,0.369260491,0.715349607,0.423157895,0.172972973,0.324840764,0.948529412,0.174825175,0,0.356521739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
100,0.565010333,0.418011309,0.696842105,0.918918919,0.280254777,0.625,0,0,0.153043478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
117,0.672162818,0.074886223,0.658947368,0.578378378,0.541401274,0.544117647,0.370629371,0.102040816,0.026086957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
84,0.463563663,0.341883878,0.566315789,0.637837838,0.242038217,0.602941176,0.342657343,0.102040816,0.126956522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
50,0.253706532,0.694249069,0.884210526,0.794594595,0.949044586,0.580882353,0.482517483,0.244897959,0.163478261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,0.270194986,0.403392635,0.231578947,0.47027027,0.01910828,0.095588235,0.083916084,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,0.322221224,0.25362019,0.242105263,0.167567568,0.324840764,0.088235294,0.272727273,0.408163265,0.186086957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
153,0.811169018,0.142187285,0.075789474,0.010810811,0.299363057,0.139705882,0.027972028,0,0.219130435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,0.838934316,0.97255551,0.183157895,0.027027027,0.299363057,0.169117647,0.216783217,0.142857143,0.836521739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,0.375640219,0.297200386,0.595789474,0.945945946,0.292993631,0.213235294,0.027972028,0.102040816,0.126956522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
127,0.705678857,0.565990898,0.4,0.475675676,0.388535032,0.169117647,0.321678322,0,0.347826087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0.169646869,0.039304923,0.692631579,0.762162162,0.738853503,0.272058824,0.321678322,0.510204082,0.005217391,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
24,0.110656842,0.457729968,0.338947368,0.037837838,0.770700637,0.110294118,0.321678322,0.102040816,0.264347826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29,0.132311978,0.697696869,0.435789474,0.037837838,0.738853503,0.264705882,0.566433566,0.244897959,0.302608696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,0.362701051,0.525858502,0.486315789,0.291891892,0.242038217,0.470588235,0.468531469,0.897959184,0.215652174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
179,0.995462306,0.496345332,0.488421053,0.540540541,0.152866242,0.433823529,0.41958042,0.510204082,0.203478261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
77,0.4191302,0.541304648,0.395789474,0.345945946,0.095541401,0.845588235,0.174825175,0.102040816,0.264347826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64,0.328421242,0.111570818,0.092631579,0.048648649,0.159235669,0.213235294,0.118881119,0,0.170434783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,0.782145745,0.454557992,0.305263158,0.016216216,0.031847134,0,0.972027972,0.244897959,0.306086957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51,0.254829724,0.432216246,0.473684211,0.708108108,0.305732484,0.154411765,0.076923077,0,0.250434783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
126,0.703657112,0.522548614,0.143157895,0.145945946,0.076433121,0.022058824,0.321678322,0.306122449,0.499130435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
174,0.955566538,0.376637705,0.64,0.291891892,0.598726115,0.544117647,0.615384615,0.306122449,0.15826087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,0.712912211,0.282581713,0.332631579,0.227027027,0.312101911,0.382352941,0.356643357,0,0.163478261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55,0.282280528,0.740863329,0.564210526,0.351351351,0.464968153,0.764705882,0.398601399,0.102040816,0.267826087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0.010872495,0.022755482,0.286315789,0.108108108,0.203821656,0.470588235,0.321678322,0.204081633,0.029565217,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
80,0.44204331,0.020824714,0.357894737,0.059459459,0.121019108,0.889705882,0.104895105,0.816326531,0.019130435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
132,0.746428251,0.25430975,1,0.945945946,0.681528662,0.360294118,0.727272727,0,0.074782609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,0.780752988,0.276375672,0.008421053,0.059459459,0.089171975,0.022058824,0.048951049,0,0.643478261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,1,0.021790098,0.770526316,0.367567568,0.961783439,0.529411765,0.293706294,0.510204082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
79,0.429193998,0.371810785,0.654736842,0.518918919,0.694267516,0.470588235,0.559440559,0.040816327,0.142608696,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0.264309462,0.285339953,0.301052632,0.383783784,0.21656051,0.117647059,0.384615385,0.204081633,0.172173913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
157,0.82653428,0.122603779,0.233684211,0.162162162,0.089171975,0.125,0.482517483,0.040816327,0.132173913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,0.3184473,0.199696594,0.471578947,0.497297297,0.089171975,0.308823529,0.475524476,0.612244898,0.090434783,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
123,0.693773025,0.539649703,0.482105263,0.324324324,0.496815287,0.264705882,0.370629371,0.102040816,0.255652174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,0.114340911,0.064956558,0.113684211,0.124324324,0.184713376,0.132352941,0.034965035,0.306122449,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
122,0.689729535,0.061232933,0.157894737,0.043243243,0.095541401,0.441176471,0.076923077,0.204081633,0.092173913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81,0.459789739,0.49551786,0.387368421,0.102702703,0.242038217,0.647058824,0.300699301,0.653061224,0.246956522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
137,0.761568874,0.319680044,0.362105263,0.351351351,0.585987261,0.154411765,0.174825175,0.306122449,0.163478261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
105,0.599424926,0.754516618,0.149473684,0.059459459,0.127388535,0.492647059,0,0.183673469,0.683478261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,0.367688022,0.094745552,0.288421053,0.318918919,0.21656051,0,0.517482517,0.510204082,0.062608696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
114,0.656707701,0.614673838,0.431578947,0.356756757,0.27388535,0.147058824,0.342657343,0.816326531,0.307826087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,0.487240543,0.871466005,0.416842105,0.286486486,0.01910828,0.625,0.335664336,0.918367347,0.405217391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
162,0.866744541,0.058474693,0.166315789,0.124324324,0.27388535,0.279411765,0.076923077,0,0.088695652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
121,0.687617935,0.35912288,0.252631579,0.010810811,0.484076433,0.044117647,0.468531469,0.102040816,0.250434783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0.25163986,0.329747621,0.709473684,0.481081081,0.757961783,0.992647059,0.027972028,0.530612245,0.092173913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
154,0.811887861,0.090746104,0.16,0.156756757,0.299363057,0.044117647,0.174825175,0.102040816,0.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
46,0.234567347,0.288649841,0.183157895,0.194594595,0.031847134,0.220588235,0.272727273,0.102040816,0.330434783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0.098166951,0.72721004,0.707368421,1,0.031847134,0.705882353,0.566433566,0.102040816,0.213913043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
145,0.794680564,0.019997242,0.383157895,0.113513514,0.50955414,0.022058824,0.370629371,0.897959184,0.020869565,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
101,0.56815527,0.13225762,0.374736842,0.275675676,0.305732484,0.610294118,0.223776224,0,0.073043478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0.013882649,0.046752172,0.324210526,0.210810811,0.541401274,0.095588235,0.335664336,0.102040816,0.036521739,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,0.201725222,0.659633154,0.334736842,0.27027027,0.101910828,0.647058824,0.146853147,0.408163265,0.365217391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76,0.417737443,0.201903186,0.090526316,0.097297297,0.076433121,0.110294118,0.027972028,0.612244898,0.267826087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41,0.186135322,0.070059302,0.002105263,0.172972973,0,0.117647059,0.076923077,0,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
96,0.550678408,0.492207971,0.223157895,0.259459459,0,0.308823529,0.244755245,0.102040816,0.429565217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32,0.144891724,0.276651496,0.490526316,0.610810811,0.025477707,0.411764706,1,0.510204082,0.085217391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
130,0.722661515,0.034202179,0.44,0.232432432,0.656050955,0.352941176,0.342657343,0.040816327,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
125,0.698041154,0.013101641,0.395789474,0.318918919,0.52866242,0.463235294,0.048951049,0.244897959,0.012173913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25,0.1120496,0.883878086,0.138947368,0.156756757,0.229299363,0.022058824,0.034965035,0.591836735,0.888695652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,0.170230928,0.181216384,0.138947368,0.151351351,0.203821656,0.176470588,0.027972028,0.285714286,0.217391304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
110,0.624090215,0.301337747,0.174736842,0.086486486,0.369426752,0.088235294,0.125874126,0.306122449,0.304347826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,0.533650822,0.248241622,0.637894737,0.789189189,0.127388535,0.397058824,0.762237762,0.204081633,0.076521739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,0.086665469,0.16039167,0.181052632,0.275675676,0.171974522,0.044117647,0.125874126,0.306122449,0.16173913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40,0.185910684,0.195559233,0.164210526,0.183783784,0,0.397058824,0.146853147,0.102040816,0.193043478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,0.03100009,0.646669425,0.185263158,0.108108108,0.210191083,0.257352941,0.13986014,0.326530612,0.713043478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
166,0.900530146,0.20976417,0.254736842,0.043243243,0.031847134,0.242647059,0.468531469,0.571428571,0.189565217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,0.09106838,0.012136257,0.475789474,0.313513514,0.49044586,0.154411765,0.566433566,0.510204082,0.005217391,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,0.339653158,0.712039719,0.267368421,0.183783784,0.197452229,0.110294118,0.293706294,0.836734694,0.459130435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,0.127819211,0.198455385,0.52,0.383783784,0.598726115,0.588235294,0.195804196,0.204081633,0.085217391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
173,0.951343337,0.325610261,0.227368421,0.216216216,0.076433121,0.294117647,0.195804196,0.204081633,0.314782609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.177216936,0.206315789,0.221621622,0.464968153,0.117647059,0.027972028,0,0.194782609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,0.784526912,0.768031996,0.492631579,0.183783784,0.242038217,0.345588235,0.748251748,0.897959184,0.313043478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
113,0.652304789,0.763067163,0.644210526,0.281081081,0.936305732,0.610294118,0.384615385,0.102040816,0.245217391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
69,0.36175757,0.137222452,0.715789474,0.897297297,0.197452229,0.375,0.692307692,0.040816327,0.052173913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0.132716327,0.355950903,0.858947368,0.875675676,0.541401274,0.176470588,0.909090909,0.408163265,0.113043478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,0.471291221,0.349193215,0.389473684,0.156756757,0.420382166,0.220588235,0.496503497,0.306122449,0.182608696,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,0.404977985,0.041649428,0.408421053,0.221621622,0.210191083,0.367647059,0.566433566,0.510204082,0.024347826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.003010154,0.010619225,0.16,0.064864865,0.152866242,0.183823529,0.223776224,0.612244898,0.03826087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
83,0.462395543,0.0034478,0.101052632,0.043243243,0.197452229,0.154411765,0.167832168,0,0.059130435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,0.564381346,0.057785133,0.330526316,0.562162162,0.063694268,0.279411765,0.132867133,0.408163265,0.043478261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47,0.241351424,0.00551648,0.111578947,0.032432432,0.535031847,0,0,0.510204082,0.03826087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
139,0.774822536,0.080402703,0.616842105,0.708108108,0.286624204,0.669117647,0.41958042,0.612244898,0.019130435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,0.055845089,0.159288374,0.591578947,0.545945946,0.955414013,0.625,0.174825175,0.918367347,0.034782609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
